,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
642,No account,15,existing credits paid back duly till now,education,4623,100-500,1-4 yrs,3,none,2,savings agreement/life insurance,40,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,2,0
643,No account,24,critical account/other credits existing (not at this bank),radio/television,1851,<100,4-7 yrs,4,guarantor,2,car or other,33,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,3,1
644,<0,18,critical account/other credits existing (not at this bank),radio/television,1880,<100,4-7 yrs,4,none,1,savings agreement/life insurance,32,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,married/widowed,male,3,1
645,No account,36,delay in paying off in the past,business,7980,unknown/no savings account,<1 yr,4,none,4,car or other,27,none,own,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,1,0
646,<0,30,no credits taken / paid back duly,furniture/equipment,4583,<100,1-4 yrs,2,guarantor,2,real estate,32,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated,male,2,1
647,No account,12,existing credits paid back duly till now,car (new),1386,500-1000,1-4 yrs,2,none,2,savings agreement/life insurance,26,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
648,>=200,24,existing credits paid back duly till now,car (new),947,<100,4-7 yrs,4,none,3,unknown/no property,38,bank,free,1,skilled employee / official,2,none,yes,bad,single,male,3,0
649,<0,12,existing credits paid back duly till now,education,684,<100,1-4 yrs,4,none,4,car or other,40,none,own,1,unskilled - resident,2,none,yes,bad,single,male,2,0
650,<0,48,existing credits paid back duly till now,education,7476,<100,4-7 yrs,4,none,1,unknown/no property,50,none,free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,3,1
651,0-200,12,existing credits paid back duly till now,furniture/equipment,1922,<100,1-4 yrs,4,none,2,savings agreement/life insurance,37,none,rent,1,unskilled - resident,1,none,yes,bad,single,male,2,0
652,<0,24,existing credits paid back duly till now,car (new),2303,<100,>7 yrs,4,co-applicant,1,real estate,45,none,rent,1,skilled employee / official,1,none,yes,bad,single,male,4,0
653,0-200,36,delay in paying off in the past,car (new),8086,100-500,>7 yrs,2,none,4,car or other,42,none,rent,4,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,4,0
654,No account,24,critical account/other credits existing (not at this bank),car (used),2346,<100,4-7 yrs,4,none,3,car or other,35,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
655,<0,14,existing credits paid back duly till now,car (new),3973,<100,unemployed,1,none,4,unknown/no property,22,none,free,1,skilled employee / official,1,none,yes,good,single,male,0,1
656,0-200,12,existing credits paid back duly till now,car (new),888,<100,>7 yrs,4,none,4,car or other,41,bank,rent,1,unskilled - resident,2,none,yes,bad,single,male,4,0
657,No account,48,existing credits paid back duly till now,radio/television,10222,unknown/no savings account,4-7 yrs,4,none,3,car or other,37,stores,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
658,0-200,30,no credits taken / paid back duly,business,4221,<100,1-4 yrs,2,none,1,car or other,28,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
659,0-200,18,critical account/other credits existing (not at this bank),furniture/equipment,6361,<100,>7 yrs,2,none,1,unknown/no property,41,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
660,>=200,12,existing credits paid back duly till now,radio/television,1297,<100,1-4 yrs,3,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
661,<0,12,existing credits paid back duly till now,car (new),900,unknown/no savings account,1-4 yrs,4,none,2,car or other,23,none,rent,1,skilled employee / official,1,none,yes,bad,married/widowed,male,2,0
662,No account,21,existing credits paid back duly till now,furniture/equipment,2241,<100,>7 yrs,4,none,2,real estate,50,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
663,0-200,6,delay in paying off in the past,furniture/equipment,1050,<100,unemployed,4,none,1,savings agreement/life insurance,35,stores,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
664,>=200,6,critical account/other credits existing (not at this bank),education,1047,<100,1-4 yrs,2,none,4,savings agreement/life insurance,50,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
665,No account,24,critical account/other credits existing (not at this bank),others,6314,<100,unemployed,4,co-applicant,2,unknown/no property,27,bank,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
666,0-200,30,all credits at this bank paid back duly,furniture/equipment,3496,>=1000,1-4 yrs,4,none,2,car or other,34,stores,rent,1,skilled employee / official,2,"yes, registered",yes,good,single,male,2,1
667,No account,48,all credits at this bank paid back duly,business,3609,<100,1-4 yrs,1,none,1,real estate,27,stores,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
668,<0,12,critical account/other credits existing (not at this bank),car (new),4843,<100,>7 yrs,3,co-applicant,4,savings agreement/life insurance,43,none,own,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,4,0
669,>=200,30,critical account/other credits existing (not at this bank),radio/television,3017,<100,>7 yrs,4,none,4,savings agreement/life insurance,47,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
670,No account,24,critical account/other credits existing (not at this bank),business,4139,100-500,1-4 yrs,3,none,3,savings agreement/life insurance,27,none,rent,2,unskilled - resident,1,"yes, registered",yes,good,single,male,2,1
671,No account,36,existing credits paid back duly till now,business,5742,100-500,4-7 yrs,2,none,2,car or other,31,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
672,No account,60,existing credits paid back duly till now,car (new),10366,<100,>7 yrs,2,none,4,savings agreement/life insurance,42,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
673,No account,6,critical account/other credits existing (not at this bank),car (new),2080,500-1000,1-4 yrs,1,none,2,car or other,24,none,rent,1,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
674,No account,21,delay in paying off in the past,business,2580,500-1000,<1 yr,4,none,2,real estate,41,bank,rent,1,unskilled - resident,2,none,yes,bad,single,male,1,0
675,No account,30,critical account/other credits existing (not at this bank),radio/television,4530,<100,4-7 yrs,4,none,4,car or other,26,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,3,1
676,No account,24,critical account/other credits existing (not at this bank),furniture/equipment,5150,<100,>7 yrs,4,none,4,car or other,33,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
677,0-200,72,existing credits paid back duly till now,radio/television,5595,100-500,1-4 yrs,2,none,2,car or other,24,none,rent,1,skilled employee / official,1,none,yes,bad,married/widowed,male,2,0
678,<0,24,existing credits paid back duly till now,radio/television,2384,<100,>7 yrs,4,none,4,real estate,64,bank,own,1,unskilled - resident,1,none,yes,good,single,male,4,1
679,No account,18,existing credits paid back duly till now,radio/television,1453,<100,<1 yr,3,none,1,real estate,26,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
680,No account,6,existing credits paid back duly till now,education,1538,<100,<1 yr,1,none,2,unknown/no property,56,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
681,No account,12,existing credits paid back duly till now,radio/television,2279,unknown/no savings account,1-4 yrs,4,none,4,unknown/no property,37,none,free,1,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
682,No account,15,delay in paying off in the past,radio/television,1478,<100,1-4 yrs,4,none,3,real estate,33,bank,rent,2,skilled employee / official,1,none,yes,good,married/widowed,male,2,1
683,No account,24,critical account/other credits existing (not at this bank),radio/television,5103,<100,<1 yr,3,none,3,unknown/no property,47,none,free,3,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,1,1
684,0-200,36,delay in paying off in the past,business,9857,100-500,4-7 yrs,1,none,3,savings agreement/life insurance,31,none,rent,2,unskilled - resident,2,"yes, registered",yes,good,single,male,3,1
685,No account,60,existing credits paid back duly till now,car (new),6527,unknown/no savings account,1-4 yrs,4,none,4,unknown/no property,34,none,free,1,skilled employee / official,2,"yes, registered",yes,good,single,male,2,1
686,>=200,10,critical account/other credits existing (not at this bank),radio/television,1347,unknown/no savings account,4-7 yrs,4,none,2,savings agreement/life insurance,27,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
687,0-200,36,delay in paying off in the past,car (new),2862,100-500,>7 yrs,4,none,3,unknown/no property,30,none,free,1,skilled employee / official,1,none,yes,good,single,male,4,1
688,No account,9,existing credits paid back duly till now,radio/television,2753,100-500,>7 yrs,3,co-applicant,4,car or other,35,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,4,1
689,<0,12,existing credits paid back duly till now,car (new),3651,>=1000,1-4 yrs,1,none,3,savings agreement/life insurance,31,none,rent,1,skilled employee / official,2,none,yes,good,single,male,2,1
690,<0,15,critical account/other credits existing (not at this bank),furniture/equipment,975,<100,1-4 yrs,2,none,3,savings agreement/life insurance,25,none,rent,2,skilled employee / official,1,none,yes,good,divorced/separated,male,2,1
691,0-200,15,existing credits paid back duly till now,repairs,2631,100-500,1-4 yrs,3,none,2,real estate,25,none,rent,1,unskilled - resident,1,none,yes,good,divorced/separated/married,female,2,1
692,0-200,24,existing credits paid back duly till now,radio/television,2896,100-500,<1 yr,2,none,1,car or other,29,none,rent,1,skilled employee / official,1,none,yes,good,single,male,1,1
693,<0,6,critical account/other credits existing (not at this bank),car (new),4716,unknown/no savings account,<1 yr,1,none,3,real estate,44,none,rent,2,unskilled - resident,2,none,yes,good,single,male,1,1
694,No account,24,existing credits paid back duly till now,radio/television,2284,<100,4-7 yrs,4,none,2,car or other,28,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,3,1
695,No account,6,existing credits paid back duly till now,car (used),1236,500-1000,1-4 yrs,2,none,4,savings agreement/life insurance,50,none,own,1,skilled employee / official,1,none,yes,good,single,male,2,1
696,0-200,12,existing credits paid back duly till now,radio/television,1103,<100,4-7 yrs,4,guarantor,3,real estate,29,none,rent,2,skilled employee / official,1,none,no,good,single,male,3,1
697,No account,12,critical account/other credits existing (not at this bank),car (new),926,<100,unemployed,1,none,2,savings agreement/life insurance,38,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,good,divorced/separated/married,female,0,1
698,No account,18,critical account/other credits existing (not at this bank),radio/television,1800,<100,1-4 yrs,4,none,2,car or other,24,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
699,>=200,15,existing credits paid back duly till now,education,1905,<100,>7 yrs,4,none,4,car or other,40,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
700,No account,12,existing credits paid back duly till now,furniture/equipment,1123,500-1000,1-4 yrs,4,none,4,car or other,29,none,own,1,unskilled - resident,1,none,yes,bad,divorced/separated/married,female,2,0
701,<0,48,critical account/other credits existing (not at this bank),car (used),6331,<100,>7 yrs,4,none,4,unknown/no property,46,none,free,2,skilled employee / official,1,"yes, registered",yes,bad,single,male,4,0
702,>=200,24,existing credits paid back duly till now,radio/television,1377,100-500,>7 yrs,4,none,2,unknown/no property,47,none,free,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
703,0-200,30,delay in paying off in the past,business,2503,100-500,>7 yrs,4,none,2,savings agreement/life insurance,41,stores,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
